,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
0,VCB,20230609,100000.0,102000.0,99000.0,100500.0,46500
1,VCB,20230608,97000.0,98300.0,97000.0,97900.0,139500
2,VCB,20230607,99000.0,99000.0,97000.0,97000.0,794600
3,VCB,20230606,98000.0,99000.0,96500.0,99000.0,779500
4,VCB,20230605,95200.0,98700.0,95200.0,98000.0,1362801
5,VCB,20230602,93900.0,95000.0,93300.0,94900.0,1457800
6,VCB,20230601,94600.0,94600.0,93200.0,93900.0,711300
7,VCB,20230531,93900.0,94100.0,93100.0,94000.0,420100
8,VCB,20230530,93100.0,94800.0,92400.0,94500.0,1307500
9,VCB,20230529,92000.0,95000.0,92000.0,93100.0,630500
10,VCB,20230526,93200.0,93500.0,92000.0,92000.0,1026700
11,VCB,20230525,92600.0,94000.0,91400.0,93200.0,626600
12,VCB,20230524,92800.0,92800.0,91900.0,92600.0,385200
13,VCB,20230523,93000.0,93600.0,92100.0,92800.0,568800
14,VCB,20230522,93000.0,93900.0,92200.0,93100.0,665300
15,VCB,20230519,94500.0,94900.0,92600.0,94200.0,609900
16,VCB,20230518,92900.0,96000.0,92200.0,95000.0,1894800
17,VCB,20230517,92500.0,93000.0,92300.0,92800.0,799400
18,VCB,20230516,92000.0,93100.0,91300.0,92600.0,901600
19,VCB,20230515,92000.0,93000.0,91200.0,91700.0,678901
20,VCB,20230512,91000.0,92800.0,90800.0,92800.0,893500
21,VCB,20230511,92000.0,92100.0,91000.0,91000.0,681600
22,VCB,20230510,91900.0,93000.0,91600.0,92000.0,820400
23,VCB,20230509,93000.0,93900.0,92300.0,92300.0,1019400
24,VCB,20230508,90000.0,93200.0,89800.0,93000.0,1563200
25,VCB,20230505,88500.0,89900.0,88200.0,89800.0,600500
26,VCB,20230504,90000.0,90000.0,88500.0,88500.0,559001
27,VCB,20230428,90000.0,90500.0,88800.0,90500.0,740700
28,VCB,20230427,88700.0,90500.0,88400.0,90000.0,721300
29,VCB,20230426,88000.0,89500.0,87900.0,89400.0,4045974
30,VCB,20230425,88200.0,88500.0,87500.0,88300.0,565800
31,VCB,20230424,88000.0,88500.0,87000.0,87900.0,585200
32,VCB,20230421,88000.0,88100.0,87400.0,87500.0,1056500
33,VCB,20230420,88800.0,88800.0,88000.0,88300.0,257800
34,VCB,20230419,88100.0,88700.0,88000.0,88500.0,492900
35,VCB,20230418,88300.0,88600.0,87500.0,88000.0,758100
36,VCB,20230417,88400.0,88500.0,87800.0,88400.0,524900
37,VCB,20230414,88300.0,89100.0,88200.0,88400.0,477800
38,VCB,20230413,88300.0,88500.0,87800.0,88200.0,567000
39,VCB,20230412,88300.0,88600.0,88000.0,88300.0,581400
40,VCB,20230411,89000.0,90000.0,88200.0,88200.0,827600
41,VCB,20230410,90000.0,90000.0,89000.0,89000.0,682300
42,VCB,20230407,91000.0,91100.0,89500.0,90000.0,843200
43,VCB,20230406,91500.0,92100.0,91200.0,91200.0,419300
44,VCB,20230405,92300.0,92300.0,91100.0,92100.0,432000
45,VCB,20230404,92800.0,92900.0,91600.0,92000.0,312900
46,VCB,20230403,91700.0,92900.0,91200.0,92800.0,812700
47,VCB,20230331,92800.0,93200.0,90500.0,91400.0,1033600
48,VCB,20230330,92300.0,93200.0,92000.0,92700.0,605700
49,VCB,20230329,92500.0,92500.0,90500.0,92300.0,422800
50,VCB,20230328,90800.0,92900.0,90100.0,91800.0,888800
51,VCB,20230327,89000.0,91000.0,88000.0,91000.0,826100
52,VCB,20230324,91000.0,91000.0,88900.0,89000.0,673000
53,VCB,20230323,88800.0,90700.0,87300.0,90700.0,1945500
54,VCB,20230322,86600.0,89900.0,86600.0,89000.0,1098800
55,VCB,20230321,85400.0,89900.0,85400.0,86500.0,1173400
56,VCB,20230320,89000.0,89500.0,85100.0,85100.0,1077000
57,VCB,20230317,91000.0,91100.0,89000.0,89000.0,2272200
58,VCB,20230316,91000.0,92000.0,89500.0,91000.0,806000
59,VCB,20230315,91600.0,92000.0,91100.0,91400.0,850800
60,VCB,20230314,91000.0,91200.0,90500.0,91000.0,906700
61,VCB,20230313,92000.0,92000.0,90800.0,91500.0,759200
62,VCB,20230310,92200.0,92500.0,91500.0,92100.0,773800
63,VCB,20230309,92000.0,93400.0,91700.0,93000.0,1118100
64,VCB,20230308,91000.0,92200.0,90700.0,92200.0,871900
65,VCB,20230307,91500.0,92500.0,91100.0,91900.0,1053300
66,VCB,20230306,91000.0,92200.0,91000.0,91000.0,711900
67,VCB,20230303,91800.0,92800.0,90900.0,90900.0,864600
68,VCB,20230302,93000.0,93800.0,91800.0,93200.0,984700
69,VCB,20230301,92300.0,93400.0,92200.0,93000.0,775700
70,VCB,20230228,93100.0,93700.0,92600.0,93500.0,625800
71,VCB,20230227,93000.0,93500.0,91700.0,92800.0,521000
72,VCB,20230224,93000.0,94000.0,90000.0,93500.0,691400
73,VCB,20230223,93000.0,94000.0,91200.0,93300.0,1045700
74,VCB,20230222,94200.0,94300.0,92500.0,93000.0,1071500
75,VCB,20230221,94200.0,94900.0,94000.0,94200.0,695500
76,VCB,20230220,93000.0,94500.0,93000.0,93800.0,1161000
77,VCB,20230217,93000.0,93300.0,92000.0,93000.0,949200
78,VCB,20230216,93000.0,94000.0,92200.0,92400.0,842600
79,VCB,20230215,92500.0,94200.0,91200.0,93000.0,899300
80,VCB,20230214,93500.0,93500.0,91200.0,92500.0,1178100
81,VCB,20230213,94800.0,95400.0,92000.0,93500.0,892700
82,VCB,20230210,94500.0,94500.0,92800.0,94500.0,713700
83,VCB,20230209,93800.0,95000.0,93000.0,93000.0,840300
84,VCB,20230208,92100.0,96200.0,92100.0,94200.0,950800
85,VCB,20230207,95300.0,95500.0,92000.0,92000.0,1469200
